Froh_4to8Mb Froh_8to16Mb Froh_from16Mb
0.02443984317549 0.0365372259858935 0.0162234683754317
0.0283195020200311 0.0253201194730133 0.0446825304933426
0.0327252505443296 0.0276940628223231 0
0.0377761261911792 0.0304797789780867 0.0379983340257408
0.0214175588033415 0.0377404054023794 0.00627555522152916
0.0321528023642084 0.0261668603886078 0.0131540976634724
0.0233714764702679 0.0378129215535267 0.00921129581968624
0.0306806709749789 0.0295767179442903 0.0414712424204062
0.030739791783113 0.0421511755278441 0.040295272188186
0.0423336475589089 0.010431174373499 0.00897828597145385
0.0496981121591636 0.0409549851830377 0.0393967356944701
0.035537879007449 0.039716816216553 0
0.0215547487961202 0.0295603028418695 0.0199913217138116
0.0294913881173578 0.0397760941503799 0.0442582469313093
0.0258544102829792 0.0394189674691706 0.0204187900927711
0.0513724628041418 0.0297606785146704 0.0253628474633803
0.0380579911763839 0.0322132598738489 0
0.0332070893231594 0.0253080491226208 0.0229333201448473
0.0231746508560877 0.0416946974401541 0.0290983230886972
0.0249041420434543 0.0206467666309515 0.040279643847347
0.0384303975758014 0.0319834956532074 0.00747862963574924
0.0265067296830337 0.0110120669264877 0.0325789521715491
0.0265017466078787 0.0209736798544332 0.027077913303493
0.0411152363928758 0.0332217039011154 0.0297172249510924
0.0370814168476207 0.0392122489796428 0.0316584373438534
0.0421093370350888 0.0277430709302222 0.0213417996685452
0.0302475540029061 0.0252691042354717 0.0257599399710356
0.0239435197495655 0.0269573431297829 0.0106295867305524
0.0428688988752129 0.0293727695505093 0.0343673998649433
0.0392387544976451 0.0356557772889704 0.0332586004886688
0.0410977924193323 0.0404899694291002 0.0108542473878274
0.036503765389751 0.0351809090742265 0.0364597180723534
0.028002624067056 0.00607474367601333 0.0140872611094347
0.0539637514010697 0.0400585902822975 0.0302735956979499
0.0440856617322961 0.0266443782108869 0.024093495467886
0.0406864573741234 0.0316818464281316 0.0121557466957293
0.0294209365071638 0.00644879045255491 0.0150529348432631
0.0209173548260532 0.017401034037763 0
0.0231293571089158 0.0324354476899929 0.00853542494019446
0.0358028828194562 0.0134032457556333 0
0.0390928576263343 0.0404650355457315 0.0115927751589522
0.0327274487932041 0 0
0.0223865363314837 0.0204551288085741 0.0072329738131922
0.0266611899045995 0.0149629316600892 0.0202782033900046
0.0260730125361393 0.0495699874879036 0.0416447012533794
0.0223945327450444 0.0215778636474305 0.014631062556284
0.0470947241284818 0.0358164152697445 0.0306430593899822
0.0377815398511653 0.0181775714960003 0.040565557085376
0.0388278851639245 0.0424079600797551 0.0148233855373312
0.027420344199958 0.0366918531535078 0.0180557711338736
0.0377471720052296 0.037940937067755 0
0.0313769511977589 0.0238724487015443 0.00613885473571635
0.0287992713477297 0.0268428502454871 0.0127960897941833
0.0138965531992101 0.0507873440988065 0.0128140512249361
0.035460511978244 0.0314184811047186 0.00903065792891948
0.0427548543279299 0.0150107212884576 0.00705587464986631
0.0306693141112056 0.031597101290075 0
0.0359426162843863 0.0340428922509259 0.0139797863801799
0.0354248708854085 0.0213500495228267 0
0.034372831654817 0.0216913250166616 0.034425332410026
0.0354516483517251 0.0267963176226608 0.00617003776472589
0.0314424068907941 0.0321902806189898 0.0268913499611207
0.0293008214691742 0.0262946719416003 0.0356195209130737
0.0398319632876272 0.0433396221443985 0.00628775927984294
0.0478786045689134 0.0367117382408789 0.0391023229384987
0.0314885629407462 0.0452940266743488 0.0404928260195192
0.038595268885336 0.0310254493141853 0.0290351298545553
0.0298399778877315 0.0373007352313421 0.0225125817312567
0.0347457921489251 0.0416946717561466 0.0384434922648447
0.0351753768145588 0.0375518028253553 0.0327212812320576
0.0449129288823449 0.0236609926457565 0.00657048090223794
0.0355909459439403 0.029031561288341 0.0431052023196972
0.0414274919799184 0.0174360911971345 0.0161792748858151
0.0369856574251258 0.0339980487292967 0
0.0197479279724418 0.0430250247802042 0.0280474944058107
0.027917077436884 0.0304680742470946 0.00725864988883556
0.0267184637304318 0.0250889770032064 0.0285548302276436
0.0288151478414056 0.0157011380034147 0.0202300575848856
0.0426976987240731 0.0376257848534583 0.0065699502253189
0.0432355222181839 0.0270885736774167 0.028758665309627
0.0358683857257404 0.0195954469302751 0.0270586299017676
0.0199304679905852 0.0187399764737891 0.00669190997937436
0.0288307233034057 0.0265779299065042 0.0138924256281274
0 0 0
0.0418851768382535 0.0258926975839959 0.0227266601997483
0.0307371859894729 0.0245946025402016 0.0124537994043475
0.0336987299501927 0.0346398675250622 0.0424328762109422
0.0208442022403091 0.0249039796298777 0.0290662856887334
0.0126565304517156 0.0077085634463812 0.0235592922857103
0 0 0
0.0216969365945876 0.0461956274967794 0.00726615566231243
0.0413606183785885 0.0339499962175578 0.0805273318792244
0.0437645561161504 0.0397861713462516 0.00823138899095397
0.0507161068601487 0.0365652615908701 0.0334277364765613
0.0311726843978264 0.0194973079600293 0.0185923859688093
0.0338600149413314 0.0640934963743803 0.00825722785787996
0.0392401342576345 0.0268945075832155 0.0667169183085941
