fid ID Froh Froh_1to2Mb Froh_2to4Mb Froh_4to8Mb Froh_8to16Mb Froh_from16Mb
CRESKA C159 0.211414034559205 0.023090054360144 0.0491405510412797 0.0880997532522511 0.0432709669190493 0.00781270898648057
CRESKA C160 0.0793556230960011 0.0177781592657269 0.0238306992805161 0.0336820777094962 0.00406468684026194 0
CRESKA C161 0.188240854435657 0.0159610713706307 0.0375642577117662 0.0757691642850256 0.0424009320114 0.0165454290568346
CRESKA C162 0.068217706040174 0.0176489742732133 0.0338126849015298 0.016756046865431 0 0
CRESKA C163 0.101237878091544 0.0104865400061138 0.0282957203945223 0.0397806839154818 0.0226749337754263 0
CRESKA C164 0.0958460973113353 0.0319895299349976 0.0293666316048909 0.029357606033556 0.00513232973789085 0
CRESKA C165 0.0487049182163818 0.0173816796671026 0.0131639445099365 0.0127610416131267 0.00539825242621601 0
CRESKA C166 0.0274114294548068 0.0111388774369553 0.0100035166464905 0.00246049645024589 0.00380853892111515 0
KRCKA K138 0.0511449155770549 0.0105763203636814 0.0107659505763156 0.0111932265769468 0.018609418060111 0
KRCKA K140 0.0268378916242928 0.0127090649974363 0.00622605029013924 0.00790277633671724 0 0
KRCKA K141 0.117558024478537 0.0115272690252009 0.0197452101131444 0.0368878983756793 0.029013554812667 0.0203840921518453
KRCKA K142 0.183000724526917 0.0153397836843813 0.0321199967249572 0.0680976839268087 0.0611099415558189 0.00633331863495093
KRCKA K143 0.189864469433259 0.0128051475902443 0.0202079444061318 0.0656989736718631 0.0639285398774737 0.027223863887546
KRCKA K144 0.128066934054745 0.00904601434105848 0.0182061380502928 0.0431727276266157 0.0499202033708956 0.00772185066588265
KRCKA K146 0.126218669937156 0.0166226590934819 0.0363990024962541 0.0485944647170836 0.0246025436303361 0
KRCKA K147 0.0657734444016364 0.00961391597592247 0.0162894346903692 0.0230425164612584 0.0168275772740863 0
LICKA LP311 0.0956748005926491 0.0307405823196128 0.031857537674571 0.0198190844241906 0.0132575961742748 0
LICKA LP312 0.056854519851895 0.00422127885909754 0.00707612605668733 0.0136866931472585 0.00832847078340851 0.0235419510054431
LICKA LP314 0.0526199379929905 0.00387645755410626 0.00181778719798767 0.00533131544739452 0.0205394553624473 0.0210549224310548
LICKA LP316 0.0490132516138082 0.00393803217933923 0.0101063741228426 0.0123132359670994 0.0141002979310735 0.00855531141345342
LICKA LP317 0.161557417856485 0.0125089669012535 0.0301699186703968 0.0653550152787915 0.0385263538338147 0.0149971631722289
LICKA LP319 0.0581677050905261 0.0108269365184729 0.00910224981965731 0.0205931473588478 0.0176453713935482 0
LICKA LP320 0.120621128563899 0.00860861972154173 0.0174887507528022 0.0523564632515683 0.0353995853369791 0.00676770950100776
LICKA LP323 0.0600020500636703 0.00672606964957396 0.0045797091089108 0.0071725319997261 0.0211370595782025 0.0203866797272569
PASKA PO199 0.0577702809688592 0.00661114262303939 0.0124441046241522 0.0166647804892188 0.0115995695179586 0.0104506837144902
PASKA PO200 0.0459112785873634 0.0164764127349021 0.0158559345845774 0.013578931267884 0 0
PASKA PO201 0.0618372413170837 0.00814011772682954 0.00788267447284663 0.00894260144493189 0.0144135570045638 0.0224582906679118
PASKA PO202 0.0571955580365423 0.00342881242284667 0.00928020886815895 0.0171412668365801 0.0273452699089565 0
PASKA PO203 0.0959380022655751 0.00848411209068031 0.0165313153607552 0.0170819208525313 0.0376448237481034 0.0161958302135048
PASKA PO204 0.0798059323856218 0.00521216591551331 0.00949023644654929 0.0302474867550127 0.0209011844808235 0.013954858787723
PASKA PO205 0.0644837616192555 0.0131009306667504 0.0188009713556968 0.0139133593383631 0.010453272063467 0.00821522819497823
PASKA PO206 0.0638391582927385 0.00812587948676173 0.00803788297041953 0.00465181853107757 0.0103098600475802 0.0327137172568995
RAPSKA R170 0.0169331302381879 0.00486020847205492 0.00457796433272515 0.00161526552220398 0.00587969191120387 0
RAPSKA R171 0.0734231430992693 0.0203922014352654 0.0213898939310486 0.012788367801891 0.0114991302062513 0.007353549724813
RAPSKA R173 0.040317856835289 0.0162269197967019 0.0111088356477477 0.0129821013908394 0 0
RAPSKA R175 0.0734910698546944 0.0073139489911027 0.0136021505992909 0.0112353827831152 0.0327701940878238 0.00856939339336185
RAPSKA R178 0.104826991391316 0.0106138881681894 0.0210856306466352 0.0324731539679563 0.0406543186085356 0
RAPSKA R179 0.149152453694782 0.0137950734919668 0.0284481978203491 0.0426374774029776 0.0500876767438502 0.0141840282356384
RAPSKA R180 0.00855622499389024 0.00755838861498999 0.000997836378900246 0 0 0
RAPSKA R182 0.0317864485848311 0.0147130876174172 0.0100727456988381 0.00700061526857585 0 0
